name,address,city,region,country,postcode,latitude,longitude,rating,review_count,phone,email,website,opening_hours,feature_shade,feature_benches,feature_water,feature_parking,feature_toilets,feature_wheelchair_accessible,feature_kids_friendly,feature_dogs_allowed,feature_fee,feature_seasonal,feature_fkk,feature_restaurant,feature_photography,feature_historic,tags,description_de,main_image
Schloss Babelsberg,Park Babelsberg,Potsdam,Brandenburg,Deutschland,14482,52.4047,13.0942,4.7,5450,,,https://www.spsg.de/schloesser-gaerten/objekt/schloss-babelsberg/,Täglich 10-18 Uhr (saisonal),TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Schloss, Architektur, UNESCO Welterbe, Fotografie, Geschichte","Neugotisches Schloss im Park Babelsberg, erbaut 1833-1849 für Prinz Wilhelm. UNESCO-Welterbe mit beeindruckender Architektur und Panoramablick über die Havel.",images/park-babelsberg/attractions/schloss-babelsberg-1.webp
Flatowturm,Park Babelsberg,Potsdam,Brandenburg,Deutschland,14482,52.4091,13.1015,4.6,890,,,,Außenbesichtigung jederzeit,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Turm, Aussichtspunkt, Fotografie, Wahrzeichen","Neugotischer Aussichtsturm im Ostteil des Parks. Wahrzeichen mit gotischen Elementen, benannt nach Graf Bülow von Flatow. Perfekt für Panorama-Fotografie.",images/park-babelsberg/attractions/flatowturm-1.webp
Uferweg Nord (Tiefer See),Park Babelsberg am Tiefen See,Potsdam,Brandenburg,Deutschland,14482,52.4165,13.0803,4.8,342,,,,Durchgehend geöffnet,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Wanderweg, Spaziergang, Fotografie, Sonnenuntergang, Barrierearm","Befestigter Uferweg am Tiefen See mit zahlreichen Sitzbänken. Beliebter Spot für Sonnenuntergänge und ruhige Spaziergänge. Weitgehend barrierefrei.",images/park-babelsberg/attractions/uferweg-nord-1.webp
Liegewiese am Wasser,Park Babelsberg Uferbereich,Potsdam,Brandenburg,Deutschland,14482,52.4165,13.0793,4.7,156,,,,Durchgehend geöffnet,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Erholung, Liegewiese, Picknick, Schatten, Entspannung","Ruhige Wiese mit altem Baumbestand direkt am Wasser. Schattenplätze vorhanden. Ideal für Entspannung und Picknicks.",images/park-babelsberg/attractions/liegewiese-1.webp
Matrosenhaus,Park Babelsberg am Wasser,Potsdam,Brandenburg,Deutschland,14482,52.4078,13.0968,4.5,78,,,,Außenbesichtigung jederzeit,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Historisches Gebäude, Architektur, Fotografie, Geschichte","Historisches Gebäude am Wasser im neugotischen Stil. Früher als Bootshaus genutzt. Fotogenes Motiv besonders aus der Distanz.",images/park-babelsberg/attractions/matrosenhaus-1.webp
Picknick-Bereich,Park Babelsberg,Potsdam,Brandenburg,Deutschland,14482,52.4159,13.0817,4.6,89,,,,Durchgehend geöffnet,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Picknick, BBQ, Familie, Erholung","Ausgewiesene Picknick-Zone mit Rasenflächen. Geeignet für Familienausflüge und entspannte Nachmittage im Grünen.",images/park-babelsberg/bbq/picknick-option-1.webp
Spielplatz Babelsberg,Park Babelsberg,Potsdam,Brandenburg,Deutschland,14482,52.4158,13.0819,4.7,234,,,,Durchgehend geöffnet,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Spielplatz, Kinder, Familie, Spielgeräte","Gut ausgestatteter Spielplatz mit modernen Spielgeräten. Geeignet für verschiedene Altersgruppen. Toiletten und Bänke in der Nähe.",images/park-babelsberg/kids/spielplatz-1.webp
Zypressen-Allee,Park Babelsberg Hauptweg,Potsdam,Brandenburg,Deutschland,14482,52.4156,13.0825,4.8,67,,,,Durchgehend geöffnet,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Allee, Spazierweg, Fotografie, Landschaftsarchitektur","Beeindruckende Baumallee mit alten Zypressen. Beliebtes Fotomotiv und angenehmer Schattenweg. Teil der historischen Gartengestaltung.",images/park-babelsberg/wege/zypressen-allee-1.webp
Brücken-Spot am See,Park Babelsberg Seebrücke,Potsdam,Brandenburg,Deutschland,14482,52.4162,13.0804,4.6,123,,,,Durchgehend geöffnet,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Brücke, Fotografie, Aussichtspunkt, Sitzplatz","Steintreppe und Brückenbereich direkt am Seeufer. Beliebter Foto- und Sitzplatz mit Wasserblick.",images/park-babelsberg/see/bruecke-1.webp
Ruhige Liegewiese Süd,Park Babelsberg Uferbereich Süd,Potsdam,Brandenburg,Deutschland,14482,52.4179,13.0759,4.2,45,,,,Durchgehend geöffnet,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Sonnen, Natur, Erholung, Ruhe","Ruhige Liegewiese am südlichen Uferbereich. Natürlicher Charakter mit weniger Besucherverkehr. Ideal für entspannte Stunden am Wasser.",images/park-babelsberg/misc/liegewiese-sued-1.webp
Gerichtslaube,Park Babelsberg,Potsdam,Brandenburg,Deutschland,14482,52.4055,13.0955,4.5,234,,,,Außenbesichtigung jederzeit,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Historisches Gebäude, Architektur, Geschichte, Gotik","Mittelalterliche Gerichtslaube aus dem 13. Jahrhundert, 1871 aus Berlin hierher versetzt. Einzigartiges gotisches Baudenkmal.",images/park-babelsberg/architektur/gerichtslaube-1.webp
Wegekreuzung Panorama,Park Babelsberg Zentral,Potsdam,Brandenburg,Deutschland,14482,52.4172,13.0781,4.7,56,,,,Durchgehend geöffnet,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Orientierung, Sichtachsen, Familienfreundlich, Aussicht","Zentrale Wegekreuzung mit offenen Sichtachsen in alle Richtungen. Gute Orientierung und Übersicht über den Park. Familienfreundlich.",images/park-babelsberg/wege/wegekreuzung-1.webp
Treppenspot am Ufer,Park Babelsberg Uferpromenade,Potsdam,Brandenburg,Deutschland,14482,52.4168,13.0799,4.8,178,,,,Durchgehend geöffnet,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Fotografie, Sitzplatz, Wasserblick, Treffpunkt","Steintreppe zum Wasser mit direktem Seezugang. Sehr beliebter Foto- und Sitzplatz, besonders bei Sonnenuntergang.",images/park-babelsberg/attractions/treppe-ufer-1.webp
Parkplatz Schloss Babelsberg,Albert-Einstein-Straße,Potsdam,Brandenburg,Deutschland,14482,52.4035,13.0925,4.3,567,,,,24/7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Parkplatz, Zugang, Service, Ausgangspunkt","Hauptparkplatz für Besucher des Parks und Schlosses. Kostenpflichtig. Toiletten vorhanden. Guter Ausgangspunkt für Rundgänge.",images/park-babelsberg/info/parkplatz-1.webp
